96931,96847,96893,96864,96810,96836,96841,96925
96847,96893,96864,96810,96836,96841,96925,96879
96893,96864,96810,96836,96841,96925,96879,96788
96864,96810,96836,96841,96925,96879,96788,96838
96810,96836,96841,96925,96879,96788,96838,97065
96836,96841,96925,96879,96788,96838,97065,96991
96841,96925,96879,96788,96838,97065,96991,97271
96925,96879,96788,96838,97065,96991,97271,97327
96879,96788,96838,97065,96991,97271,97327,97131
96788,96838,97065,96991,97271,97327,97131,97131
96838,97065,96991,97271,97327,97131,97131,97056
97065,96991,97271,97327,97131,97131,97056,97215
96991,97271,97327,97131,97131,97056,97215,97336
97271,97327,97131,97131,97056,97215,97336,97479
97327,97131,97131,97056,97215,97336,97479,97444
97131,97131,97056,97215,97336,97479,97444,97435
97131,97056,97215,97336,97479,97444,97435,97426
97056,97215,97336,97479,97444,97435,97426,97574
97215,97336,97479,97444,97435,97426,97574,97611
97336,97479,97444,97435,97426,97574,97611,97731
97479,97444,97435,97426,97574,97611,97731,97679
97444,97435,97426,97574,97611,97731,97679,97778
97435,97426,97574,97611,97731,97679,97778,97815
97426,97574,97611,97731,97679,97778,97815,97852
97574,97611,97731,97679,97778,97815,97852,97806
97611,97731,97679,97778,97815,97852,97806,97722
97731,97679,97778,97815,97852,97806,97722,97806
97679,97778,97815,97852,97806,97722,97806,97843
97778,97815,97852,97806,97722,97806,97843,97907
97815,97852,97806,97722,97806,97843,97907,97944
97852,97806,97722,97806,97843,97907,97944,98046
97806,97722,97806,97843,97907,97944,98046,98556
97722,97806,97843,97907,97944,98046,98556,99157
97806,97843,97907,97944,98046,98556,99157,99852
97843,97907,97944,98046,98556,99157,99852,100981
97907,97944,98046,98556,99157,99852,100981,102726
97944,98046,98556,99157,99852,100981,102726,103151
98046,98556,99157,99852,100981,102726,103151,102396
98556,99157,99852,100981,102726,103151,102396,102604
99157,99852,100981,102726,103151,102396,102604,102769
99852,100981,102726,103151,102396,102604,102769,102029
100981,102726,103151,102396,102604,102769,102029,101610
102726,103151,102396,102604,102769,102029,101610,101439
103151,102396,102604,102769,102029,101610,101439,101112
102396,102604,102769,102029,101610,101439,101112,101255
102604,102769,102029,101610,101439,101112,101255,101179
102769,102029,101610,101439,101112,101255,101179,100594
102029,101610,101439,101112,101255,101179,100594,100642
101610,101439,101112,101255,101179,100594,100642,100280
101439,101112,101255,101179,100594,100642,100280,100093
101112,101255,101179,100594,100642,100280,100093,99841
101255,101179,100594,100642,100280,100093,99841,100000
101179,100594,100642,100280,100093,99841,100000,99830
100594,100642,100280,100093,99841,100000,99830,99713
100642,100280,100093,99841,100000,99830,99713,99704
100280,100093,99841,100000,99830,99713,99704,99750
100093,99841,100000,99830,99713,99704,99750,99731
99841,100000,99830,99713,99704,99750,99731,99769
100000,99830,99713,99704,99750,99731,99769,99778
99830,99713,99704,99750,99731,99769,99778,99898
99713,99704,99750,99731,99769,99778,99898,100509
99704,99750,99731,99769,99778,99898,100509,100986
99750,99731,99769,99778,99898,100509,100986,100921
99731,99769,99778,99898,100509,100986,100921,100921
99769,99778,99898,100509,100986,100921,100921,100907
99778,99898,100509,100986,100921,100921,100907,101014
99898,100509,100986,100921,100921,100907,101014,101220
100509,100986,100921,100921,100907,101014,101220,101403
100986,100921,100921,100907,101014,101220,101403,101252
100921,100921,100907,101014,101220,101403,101252,101079
100921,100907,101014,101220,101403,101252,101079,100829
100907,101014,101220,101403,101252,101079,100829,100736
101014,101220,101403,101252,101079,100829,100736,100764
101220,101403,101252,101079,100829,100736,100764,100360
101403,101252,101079,100829,100736,100764,100360,100176
101252,101079,100829,100736,100764,100360,100176,100046
101079,100829,100736,100764,100360,100176,100046,100009
100829,100736,100764,100360,100176,100046,100009,100019
100736,100764,100360,100176,100046,100009,100019,100107
100764,100360,100176,100046,100009,100019,100107,100005
100360,100176,100046,100009,100019,100107,100005,100098
100176,100046,100009,100019,100107,100005,100098,100045
100046,100009,100019,100107,100005,100098,100045,100036
100009,100019,100107,100005,100098,100045,100036,99915
100019,100107,100005,100098,100045,100036,99915,99900
100107,100005,100098,100045,100036,99915,99900,99868
100005,100098,100045,100036,99915,99900,99868,99784
100098,100045,100036,99915,99900,99868,99784,99812
100045,100036,99915,99900,99868,99784,99812,99880
100036,99915,99900,99868,99784,99812,99880,99889
99915,99900,99868,99784,99812,99880,99889,99916
99900,99868,99784,99812,99880,99889,99916,99682
99868,99784,99812,99880,99889,99916,99682,99692
99784,99812,99880,99889,99916,99682,99692,99654
99812,99880,99889,99916,99682,99692,99654,99750
99880,99889,99916,99682,99692,99654,99750,99472
99889,99916,99682,99692,99654,99750,99472,99324
99916,99682,99692,99654,99750,99472,99324,99287
